id,categoria,corso,id_sezione,risorsa,keywords
53,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1095,15/05/2018PROCESSO DI SVILUPPO SOFTWARE E OOP• Mod...,''Hypothesis testing''
54,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1096,Esempio Lezione,''Descriptive statistics and statistical graphics''
55,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1096,Java 9,''Descriptive statistics and statistical graphics''
56,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1096,Esercizi,''Descriptive statistics and statistical graphics''
57,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1097,Progetti,''Regression''
58,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1097,Samples,''Regression''
59,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1097,Android Studio,''Regression''
60,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1098,Esempi Lezione,"''Analysis of variance, with discussion of Bayesian and frequentist statistics''"
61,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1098,Test,"''Analysis of variance, with discussion of Bayesian and frequentist statistics''"
62,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1098,Test di ingresso,"''Analysis of variance, with discussion of Bayesian and frequentist statistics''"
63,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1099,&nbsp; INDUSTRIA 4.0IntroduzioneStrumenti e Tecnic...,''Multiple regression''
64,Abilità informatiche,ITS Rizzoli -  Multichannel,1107,Annunci,"''Probability models, parameter estimation, and sampling''"
65,Abilità informatiche,ITS Rizzoli -  Multichannel,1108,Diritti digitali,''Nested variance components''
66,Abilità informatiche,ITS Rizzoli -  Multichannel,1108,LEZIONI ,''Nested variance components''
67,Abilità informatiche,ITS Rizzoli -  Multichannel,1109,LEZIONI TEORICHE,''Case study: tungsten CVD DOE/RSM''
68,Abilità informatiche,ITS Rizzoli -  Multichannel,1109,LINGUAGGI WEB,''Case study: tungsten CVD DOE/RSM''
69,Abilità informatiche,ITS Rizzoli -  Multichannel,1109,CREA IL TUO SITO ,''Case study: tungsten CVD DOE/RSM''
70,Abilità informatiche,ITS Rizzoli -  Multichannel,1110,Basi di Video Editing,''Introduction''
71,Abilità informatiche,ITS Rizzoli -  Multichannel,1110,LEZIONI TEORICHE,''Introduction''
72,Abilità informatiche,ITS Rizzoli -  Multichannel,1110,ESEMPIO VIDEO EMOZIONALE ,''Introduction''
73,Abilità informatiche,ITS Rizzoli -  Multichannel,1111,Inbound & Outbound Marketing,''Matrix Algebra''
74,Abilità informatiche,ITS Rizzoli -  Multichannel,1111,"LEZIONI 1,2,3",''Matrix Algebra''
75,Abilità informatiche,ITS Rizzoli -  Multichannel,1111,Tecniche SEO e SEM,''Matrix Algebra''
76,Abilità informatiche,ITS Rizzoli -  Multichannel,1111,"LEZIONI 4,5,6,7",''Matrix Algebra''
77,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1119,Lezione 1INTRODUZIONE,''General Random Variables''
78,Abilità informatiche,ITS Rizzoli -  Multichannel,1120,Esame 2018,''Further Topics on Random Variables''
79,Abilità informatiche,ITS Rizzoli -  Multichannel,1121,Esempio Lezione,''Limit Theorems''
80,Abilità informatiche,ITS Rizzoli -  Multichannel,1121,Java 9,''Limit Theorems''
81,Abilità informatiche,ITS Rizzoli -  Multichannel,1121,Esercizi,''Limit Theorems''
82,Abilità informatiche,ITS Rizzoli -  Multichannel,1122,Esempio Lezione,''The Bernoulli and Poisson Processes''
83,Abilità informatiche,ITS Rizzoli -  Multichannel,1122,Java 9,''The Bernoulli and Poisson Processes''
84,Abilità informatiche,ITS Rizzoli -  Multichannel,1122,Esercizi,''The Bernoulli and Poisson Processes''
85,Abilità informatiche,ITS Rizzoli -  Multichannel,1123,Esempio Lezione,''Markov Chains''
86,Abilità informatiche,ITS Rizzoli -  Multichannel,1123,Java 9,''Markov Chains''
87,Abilità informatiche,ITS Rizzoli -  Multichannel,1123,Esercizi,''Markov Chains''
88,Abilità informatiche,ITS Rizzoli -  Multichannel,1124,Esempio Lezione,''Arbitrage-free pricing models''
89,Abilità informatiche,ITS Rizzoli -  Multichannel,1124,Java 9,''Arbitrage-free pricing models''
90,Abilità informatiche,ITS Rizzoli -  Multichannel,1124,Esercizi,''Arbitrage-free pricing models''
91,Abilità informatiche,ITS Rizzoli -  Multichannel,1125,Esempio Lezione,''Stochastic calculus and option pricing Code''
92,Abilità informatiche,ITS Rizzoli -  Multichannel,1125,Java 9,''Stochastic calculus and option pricing Code''
93,Abilità informatiche,ITS Rizzoli -  Multichannel,1125,Esercizi,''Stochastic calculus and option pricing Code''
94,Abilità informatiche,ITS Rizzoli -  Multichannel,1126,Esempio Lezione,''Simulation methods Code''
95,Abilità informatiche,ITS Rizzoli -  Multichannel,1126,Java 9,''Simulation methods Code''
96,Abilità informatiche,ITS Rizzoli -  Multichannel,1126,Esercizi,''Simulation methods Code''
97,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1130,Lezioni,''Small-sample inference and bootstrap''
98,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1131,Slide Fresa ,''Volatility models''
99,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1132,Manuale,''Review''
100,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1132,Morsetto,''Review''
101,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1132,Mappatura,''Review''
102,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1132,Pentola,''Review''
103,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1132,Turbina,''Review''
104,Abilità informatiche,Introduzione al Corso IFTS Internet of Robotic Things,1133,Annunci,''Module 1''
105,Abilità informatiche,Introduzione al Corso IFTS Internet of Robotic Things,1134,Programma del corsoPROGRAMMA DIDATTICO DEL CORSO (...,''Module 2''
106,Abilità informatiche,Introduzione al Corso IFTS Internet of Robotic Things,1135,Programmazione orientata agli oggetti,''Module 3''
107,Abilità informatiche,Introduzione al Corso IFTS Internet of Robotic Things,1137,"IoT (Internet of Things): significato, esempi e ap...",''Mathematical Description of Random Signals''
108,Abilità informatiche,Introduzione al Corso IFTS Internet of Robotic Things,1138,Robotica: cos’è e come ci sta cambiando la vitaLa ...,''Response of linear Systems to Random Inputs''
109,Abilità informatiche,Introduzione al Corso IFTS Internet of Robotic Things,1139,Che cos’è l’AutomazioneL’automazione avanza,''Wiener Filtering''
