"id","contenthash","pathnamehash","contextid","component","filearea","itemid","filepath","filename","userid","filesize","mimetype","status","source","author","license","timecreated","timemodified","sortorder","referencefileid"
"4666","da39a3ee5e6b4b0d3255bfef95601890afd80709","1eff4f5d5fada13484a0464fa04bbe268a86daaa","3","tool_recyclebin","recyclebin_coursecat","76","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1559644757","1559644757","0",NULL
"4667","2c00cd58dbb347c88f8bf2014edef550998441a0","0154a4874b898896e24ed3019e8663e2c97a73be","2075","mod_label","intro","0","/","PROCESSO DI SVILUPPO SOFTWARE E OOP.pdf","2","13861106","application/pdf","0","01.pdf","Admin Admin","allrightsreserved","1526037949","1526038039","0",NULL
"4668","da39a3ee5e6b4b0d3255bfef95601890afd80709","e7f126e2c88a4cd38a4f2faa834a8a2befe683e8","2075","mod_label","intro","0","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1559654176","1559654176","0",NULL
"4673","b9ba650c9cb929712c91ce811446a7e4c6c80040","e8a6e8c931fb43329adfcb068952e3ccec07c00c","3","tool_recyclebin","recyclebin_coursecat","77","/","backup.mbz","2","5523","application/vnd.moodle.backup","0",NULL,NULL,NULL,"1559661843","1559661844","0",NULL
"4674","da39a3ee5e6b4b0d3255bfef95601890afd80709","4db8367c207756bb0e84c0ed6ffac04f93a0ce7d","3","tool_recyclebin","recyclebin_coursecat","77","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1559661844","1559661844","0",NULL
"4677","114f19efd647c035943d7a8559cd0da11e820d69","e77cb6d1124380922ba5468cefffba742e096dfc","3","tool_recyclebin","recyclebin_coursecat","78","/","backup.mbz","2","5802","application/vnd.moodle.backup","0",NULL,NULL,NULL,"1559661853","1559661853","0",NULL
"4678","da39a3ee5e6b4b0d3255bfef95601890afd80709","ceefdcd2b48aca25b0f87f4d926a999675a04c61","3","tool_recyclebin","recyclebin_coursecat","78","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1559661853","1559661853","0",NULL
"4679","da39a3ee5e6b4b0d3255bfef95601890afd80709","c2e1acf7d4b1f869a3a1a40358501d4d90a2d691","2118","mod_label","intro","0","/Day 1 /",".","2","0",NULL,"0",NULL,NULL,NULL,"1560158806","1560158806","0",NULL
"4680","da39a3ee5e6b4b0d3255bfef95601890afd80709","4ca81c7ea9ac978317a40ff553cbd0a10d17c94e","2118","mod_label","intro","0","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560158806","1560158806","0",NULL
"4681","65413054aba330780fa00763fbd0da3161900572","0ca1777b2ad17a90a25d259b8a3de84993109d3e","2118","mod_label","intro","0","/Day 1 /","07_soggetto.pdf","2","369899","application/pdf","0","File del server: Abilità informatiche/Programmatore Java, Android e Web/,, (Etichetta)/Descrizione/07_soggetto.pdf","Admin Admin","public","1525968547","1525968837","0",NULL
"4682","b6abd1f40ccb3d2c18654b959d590b75cd7a69c2","8e77beea007a01f7925216d8a834501dcb794a5d","2118","mod_label","intro","0","/","Day 1 .zip","2","351791","application/zip","0",NULL,NULL,NULL,"1525968600","1525968838","0",NULL
"4683","65413054aba330780fa00763fbd0da3161900572","5fe128ae5f0031348e5e949ac3f648b3c4bad813","2118","mod_label","intro","0","/","07_soggetto.pdf","2","369899","application/pdf","0","File del server: Day 1 /07_soggetto.pdf","Admin Admin","public","1525968654","1525968838","0",NULL
"4684","62968ff69c954515e127b7548e5d9adf81e5e2a9","ae50c550f6cc37d52729b945adccd85a81a6a8f7","2118","mod_label","intro","0","/","Concetti base .pdf","2","899121","application/pdf","0","01_ConcettibaseICT.pdf","Admin Admin","allrightsreserved","1525968745","1525968838","0",NULL
"4685","2c00cd58dbb347c88f8bf2014edef550998441a0","0e52a0c8142350a083deb08f685316b012f9ac9c","2119","mod_label","intro","0","/","PROCESSO DI SVILUPPO SOFTWARE E OOP.pdf","2","13861106","application/pdf","0","01.pdf","Admin Admin","allrightsreserved","1526037949","1526038039","0",NULL
"4686","da39a3ee5e6b4b0d3255bfef95601890afd80709","20c14af596043797807dcfb0c892f6a7569fa648","2119","mod_label","intro","0","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560158808","1560158808","0",NULL
"4687","d9cc19c3fa03923cf71c5d224b6ecd25a398e88d","ebe0a8bd519ce92633450a210f139f5cd773272e","5","user","draft","79784681","/","header.png","2","17110","image/png","0","O:8:""stdClass"":1:{s:6:""source"";s:10:""header.png"";}","Admin Admin","allrightsreserved","1560174233","1560174233","0",NULL
"4688","da39a3ee5e6b4b0d3255bfef95601890afd80709","c0f3abddc542767e21ee3a4d3020b8927ac4b1d8","5","user","draft","79784681","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174233","1560174233","0",NULL
"4690","da39a3ee5e6b4b0d3255bfef95601890afd80709","13329bd7898f033eb0e93c11a609c6adfb8fb295","1","core_admin","logo","0","/",".","2","0",NULL,"0",NULL,NULL,NULL,"1560174233","1560174592","0",NULL
