"id_section","name","summary","keywords"
"1094","''The Weibull distribution and parameter estimation''",,NULL
"1095","''Hypothesis testing''",,NULL
"1096","''Descriptive statistics and statistical graphics''",,NULL
"1097","''Regression''",,NULL
"1098","''Analysis of variance, with discussion of Bayesian and frequentist statistics''",,NULL
"1099","''Multiple regression''",,NULL
"1100","''Design of experiments''",,NULL
"11102",NULL,,NULL
"1102","''Introduction''",,NULL
"1103","''Math Review''",,NULL
"1104","''Random Variables''",,NULL
"1105","''Statistical Modelling''",,NULL
"11106",NULL,,NULL
"1106","''Introduction - processes and variation framework''",,NULL
"1107","''Probability models, parameter estimation, and sampling''",,NULL
"1108","''Nested variance components''",,NULL
"1109","''Case study: tungsten CVD DOE/RSM''",,NULL
"11110",NULL,,NULL
"1110","''Introduction''",,NULL
"1111","''Matrix Algebra''",,NULL
"1112","''Regression Model''",,NULL
"1113","''Nonlinear Models''",,NULL
"1114","''Sensitivity and Weights''",,NULL
"1115","''Panel Models''",,NULL
"1116","''Systems of Equations''",,NULL
"11117",NULL,,NULL
"1117","''Sample Space and Probability''",,NULL
"1118","''Discrete Random Variables''",,NULL
"1119","''General Random Variables''",,NULL
"1120","''Further Topics on Random Variables''",,NULL
"1121","''Limit Theorems''",,NULL
"1122","''The Bernoulli and Poisson Processes''",,NULL
"1123","''Markov Chains''",,NULL
"11124",NULL,,NULL
"1124","''Arbitrage-free pricing models''",,NULL
"1125","''Stochastic calculus and option pricing Code''",,NULL
"1126","''Simulation methods Code''",,NULL
"1127","''Dynamic portfolio choice''",,NULL
"1128","''Parameter estimation''",,NULL
"1129","''Standard errors and tests''",,NULL
"1130","''Small-sample inference and bootstrap''",,NULL
"1131","''Volatility models''",,NULL
"1132","''Review''",,NULL
"12000",NULL,,NULL
"2000","''Events and their probability''",,NULL
"2001","''Random variables (discrete and continuos distributions)''",,NULL
"2002","''Random Vectors''",,NULL
"2003","''Functions of random variables and vectors''",,NULL
"2004","''Second-moment characterization of random variables and vectors''",,NULL
"2005","''Selected distribution models''",,NULL
"2006","''Point and interval estimation of distribution parameters''",,NULL
"12008",NULL,,NULL
"2008","''Introduction - Descriptive Statistics''",,NULL
"2009","''Probability''",,NULL
"2010","''Discrete Random Variables and Probability Distributions''",,NULL
"2011","''Point Estimation''",,NULL
"2012","''Statistical Intervals Based on Single Sample''",,NULL
"2013","''Test of Hypotheses Based on Single and Two Sample''",,NULL
"2014","''Analysis of Variance''",,NULL
"2015","''Linear Regression''",,NULL
"10068",NULL,,NULL
"68","''II. Probability''",,NULL
"71","''V. Multivariate Distributions''",,NULL
"76","''X. Bayesian Statistics''",,NULL
"77","''XI. Monte Carlo Simulation''",,NULL
"12016",NULL,,NULL
"2016","''Linear Algebra''",,NULL
"2017","''Nonlinear algebraic systems''",,NULL
"2018","''Eigenvalue analysis''",,NULL
"2019","''Initial value problems''",,NULL
"2020","''Numerical optimization''",,NULL
"2021","''Boundary value problems''",,NULL
"2022","''Model vs Data''",,NULL
"2023","''Probability theory and stochastic simulation''",,NULL
"2024","''Fourier analysis''",,NULL
"12025",NULL,,NULL
"2025","''Measures Theory''",,NULL
"2026","''Integration''",,NULL
"2027","''Fourier Analysis''",,NULL
"12028",NULL,,NULL
"2028","''Manufacturing Systems Overview''",,NULL
"2029","''Statistics''",,NULL
"2030","''Regression''",,NULL
"2031","''Forecasting''",,NULL
"2032","''Single-Stage, Multiple-Part-Type Systems''",,NULL
"2033","''Focus''",,NULL
"12034",NULL,,NULL
"2034","''Introduction to STATA''",,NULL
"2035","''Descriptive statistics''",,NULL
"2036","''Bivariate relationships''",,NULL
"2037","''Multiple regression''",,NULL
"2038","''Sampling and inference''",,NULL
"12039",NULL,,NULL
"2039","''Logic and Sets''",,NULL
"2040","''Proofs''",,NULL
"2041","''Induction''",,NULL
"2042","''Number Theory''",,NULL
"2043","''Graphs''",,NULL
"2044","''Summations''",,NULL
"2045","''Approximation, Asymptotics''",,NULL
"2046","''Recurrences''",,NULL
"2047","''Counting''",,NULL
"2048","''Generating Functions''",,NULL
"2049","''Probability''",,NULL
"2050","''Indipendece''",,NULL
"2051","''Random Variables and Distributions''",,NULL
"2052","''Expectation''",,NULL
"2053","''Special Topics''",,NULL
"12054",NULL,,NULL
"2054","''The Hermite Ensemble: Wigner's Semi-Circle Law''",,NULL
"2055","''The Laguerre Ensemble: Marcenko-Pastur Theorem''",,NULL
"2056","''The Semi-Circular Element: Central Limit Theorem for Infinite Random Matrices''",,NULL
"2057","''Free Cumulants in Free Probability''",,NULL
"12058",NULL,,NULL
"2058","''Introduction: Stationary Time Series''",,NULL
"2059","''Mutivariate Stationary Analysis''",,NULL
"2060","''III. Univariate Non-Stationary Processes''",,NULL
"2061","''Multivariate Non-Stationary''",,NULL
"2062","''Likelihood Methods''",,NULL
"2063","''Bayesian Methods''",,NULL
"12064",NULL,,NULL
"2064","''Generalized Method of Moments''",,NULL
"2065","''Nonparametric and Semiparametric Estimation''",,NULL
"2066","''Locally linear progression''",,NULL
"2067","''Treatment Effects''",,NULL
"2068","''Nonlinear Models in Panel Data''",,NULL
"12069",NULL,,NULL
"2069","'' Methods for nonlinear models''",,NULL
